combo,model,source,n_seeds,val_mean_roc_auc,val_std_roc_auc,val_mean_mcc,val_std_mcc,hold_internal_ens_roc_auc,hold_internal_ens_mcc,hold_internal_ens_f1,hold_internal_ens_acc,hold_external_ens_roc_auc,hold_external_ens_mcc,hold_external_ens_f1,hold_external_ens_acc,hold_nn03_ens_roc_auc,hold_nn03_ens_mcc,hold_nn03_ens_f1,hold_nn03_ens_acc,hold_nn05_ens_roc_auc,hold_nn05_ens_mcc,hold_nn05_ens_f1,hold_nn05_ens_acc,hold_total_ens_roc_auc,hold_total_ens_mcc,hold_total_ens_f1,hold_total_ens_acc
maccs+avalon+scage2+mole,GateMol-BBB,iter1@d82eae5332,10,0.8443,0.0042,0.533,0.0136,0.8858,0.714,0.9353,0.8994,0.8804,0.5879,0.8931,0.8406,0.8539,0.6759,0.9123,0.8718,0.8595,0.5666,0.9153,0.8632,0.8832,0.6118,0.9019,0.8525
maccs+avalon+scage2+mole,mlp2,baseline_models,10,0.8021,0.0056,0.4397,0.0124,0.9012,0.7274,0.9399,0.905,0.8342,0.5491,0.8891,0.8293,0.8214,0.6803,0.918,0.8718,0.8173,0.5185,0.9114,0.8541,0.8511,0.583,0.8996,0.8446
maccs+avalon+scage2+mole,mlp3,baseline_models,10,0.8043,0.0085,0.4458,0.0144,0.9017,0.7119,0.9357,0.8994,0.8385,0.5634,0.8903,0.8336,0.8344,0.7462,0.9333,0.8974,0.8197,0.5366,0.9125,0.8571,0.8545,0.5916,0.8997,0.8468
maccs+avalon+scage2+mole,mlp4,baseline_models,10,0.8025,0.0071,0.4326,0.0139,0.9032,0.7448,0.9437,0.9106,0.8367,0.5741,0.8938,0.8378,0.8247,0.6803,0.918,0.8718,0.8179,0.5425,0.9148,0.8602,0.8535,0.6063,0.9042,0.8525
maccs+avalon+scage2+mole,xgboost,baseline_models,10,0.8026,0.0029,0.4596,0.0114,0.8806,0.6757,0.9296,0.8883,0.8646,0.6182,0.9033,0.8533,0.8734,0.5224,0.8852,0.8205,0.8503,0.5928,0.9245,0.8754,0.8695,0.6292,0.9088,0.8604
maccs+avalon+scage2+mole,lightgbm,baseline_models,10,0.8121,0.0049,0.4685,0.0156,0.887,0.7103,0.9366,0.8994,0.8611,0.614,0.903,0.8519,0.8896,0.6803,0.918,0.8718,0.8484,0.5696,0.9211,0.8693,0.8684,0.6322,0.91,0.8615
maccs+scage1+mole,GateMol-BBB,iter1@10e7b427ca,10,0.8454,0.0029,0.5181,0.0157,0.9015,0.714,0.9353,0.8994,0.8777,0.5779,0.888,0.835,0.8799,0.6933,0.9091,0.8718,0.8723,0.5741,0.9119,0.8602,0.8839,0.6036,0.898,0.848
maccs+scage1+mole,mlp2,baseline_models,10,0.8088,0.006,0.4519,0.0132,0.901,0.7443,0.9433,0.9106,0.8461,0.5515,0.8853,0.8279,0.8442,0.5283,0.8814,0.8205,0.8309,0.5234,0.9081,0.8511,0.8601,0.5875,0.8975,0.8446
maccs+scage1+mole,mlp3,baseline_models,10,0.8129,0.0071,0.4479,0.0166,0.9034,0.7119,0.9357,0.8994,0.8498,0.5256,0.8806,0.8195,0.8214,0.5283,0.8814,0.8205,0.8305,0.5115,0.9064,0.848,0.8631,0.561,0.892,0.8356
maccs+scage1+mole,mlp4,baseline_models,10,0.8122,0.0078,0.4469,0.0208,0.8998,0.7106,0.9362,0.8994,0.8473,0.5136,0.8779,0.8152,0.8442,0.5283,0.8814,0.8205,0.8324,0.4836,0.9006,0.8389,0.861,0.5508,0.89,0.8322
maccs+scage1+mole,xgboost,baseline_models,10,0.81,0.006,0.4595,0.0111,0.8955,0.6932,0.9329,0.8939,0.869,0.6107,0.9031,0.8505,0.8636,0.6118,0.9032,0.8462,0.8648,0.5789,0.9236,0.8723,0.8764,0.626,0.9092,0.8592
maccs+scage1+mole,lightgbm,baseline_models,10,0.8183,0.005,0.47,0.0135,0.9001,0.7274,0.9399,0.905,0.8622,0.5939,0.8987,0.8449,0.8766,0.6803,0.918,0.8718,0.8602,0.5909,0.925,0.8754,0.8723,0.6192,0.9072,0.857
maccs+scage1+scage2+mole,GateMol-BBB,iter1@39cc30d0eb,10,0.8464,0.0047,0.5152,0.0236,0.8965,0.6761,0.9231,0.8827,0.8818,0.5811,0.8891,0.8364,0.8766,0.6201,0.8929,0.8462,0.8628,0.5254,0.9025,0.845,0.8857,0.5991,0.8961,0.8457
maccs+scage1+scage2+mole,mlp2,baseline_models,10,0.8132,0.0078,0.4525,0.0158,0.8995,0.6945,0.9324,0.8939,0.8483,0.5306,0.8812,0.8209,0.8377,0.5283,0.8814,0.8205,0.8294,0.4836,0.9006,0.8389,0.8614,0.5615,0.8919,0.8356
maccs+scage1+scage2+mole,mlp3,baseline_models,10,0.8129,0.0077,0.4466,0.0126,0.9027,0.7106,0.9362,0.8994,0.8481,0.5405,0.8845,0.8251,0.8344,0.5977,0.9,0.8462,0.8285,0.5399,0.9122,0.8571,0.8622,0.5726,0.8953,0.8401
maccs+scage1+scage2+mole,mlp4,baseline_models,10,0.8149,0.009,0.4477,0.0194,0.903,0.7278,0.9395,0.905,0.8506,0.5158,0.8794,0.8166,0.8344,0.5283,0.8814,0.8205,0.827,0.4995,0.9047,0.845,0.8639,0.5561,0.8918,0.8345
maccs+scage1+scage2+mole,xgboost,baseline_models,10,0.8124,0.0069,0.4674,0.009,0.8875,0.7103,0.9366,0.8994,0.8678,0.6022,0.9,0.8477,0.8604,0.7462,0.9333,0.8974,0.8636,0.5812,0.9228,0.8723,0.8738,0.6226,0.9076,0.8581
