trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	adamw_wd	rdrop_alpha_max
0	COMPLETE	0.8552292000000001	0.00012028100254063813	0.22873408594703554	0.9988436337588507	0.036346495489906906	0.0014648346471360485	1.0215957092448427
1	COMPLETE	0.8547233999999999	0.00011586273062181749	0.2605191401407744	0.9993490934960741	0.03150324556477333	0.002782298808366817	0.8182431950053359
2	COMPLETE	0.8545746	0.00012106183038006434	0.26660739489267904	0.9980993857401282	0.02261387899104622	0.0007251078346041262	1.4558747816696842
3	COMPLETE	0.8549806	0.0001299303228150511	0.25660218668442747	0.9993700451418451	0.04397475692650171	0.0015646613634342518	1.318882378220848
4	COMPLETE	0.8542396	0.00010405985335179427	0.21518578383895431	0.9982005741187228	0.04834006751148752	0.0017382705162877798	0.6588170826948472
5	PRUNED	0.8541593531814358	0.00010930977287568682	0.23936206409815902	0.9986383670379367	0.03705301846605946	0.000723304561575932	0.9682701409122269
6	PRUNED	0.8252028273237381	0.00012286957203953494	0.21104811943745627	0.999321195205499	0.0404546089731045	0.0013098809977669344	0.6873781161629763
7	PRUNED	0.8296473367769401	0.0001264571751918449	0.11084058489326858	0.9989332553560837	0.04011913608854478	0.0010100657243325862	0.38312876377109295
8	PRUNED	0.8502476833664878	0.00011119696282484768	0.16546793876967208	0.9987980349870733	0.033158045403869615	0.003919759569936508	0.36408003668899735
9	PRUNED	0.8336314449217943	0.00010728098443970605	0.12903571321929933	0.9989141293240238	0.027598748076193464	0.0015778930110363996	0.4769860046302021
10	PRUNED	0.8335757231295587	0.00010549452305016053	0.11986752540957493	0.9989186400714777	0.024145488540458414	0.0009860601505609814	0.6038334197905288
11	PRUNED	0.8270729899756495	0.00013181660682040855	0.11747822964275104	0.9991729895988369	0.022882952236818892	0.003839199691526752	0.729872626916848
12	PRUNED	0.8284437460646484	0.00013890957390350306	0.2088721935541083	0.9990347798462184	0.021175633767629622	0.0011459671020167264	0.3768358845030132
13	PRUNED	0.8550432401107748	0.00011047763923342927	0.12137098941176394	0.9984449636600927	0.0324278898354401	0.0007828079976374294	1.1159765958818817
14	PRUNED	0.8517215247711227	0.00012100306121301195	0.14777010836910018	0.9987323024836015	0.02281821532275325	0.0019101506612280578	1.7489464603228588
15	PRUNED	0.8280146882644333	0.00012898430366076066	0.23295460977698745	0.9989765745107363	0.0448538896371562	0.0017882481583855645	1.66189564800768
16	PRUNED	0.8243412291112932	0.00013419808573500807	0.26120004715135986	0.9992725390389408	0.04569984938739993	0.0008872404406720173	1.126757108870271
17	PRUNED	0.8232866941932321	0.00013699319998887254	0.26867882775944985	0.9993668125514447	0.04182631395442805	0.0031458528664004425	1.0648040992979382
18	COMPLETE	0.8551487999999999	0.00012263686764009984	0.20438116194605613	0.9985747074567888	0.029101637691443413	0.001697983611891348	0.7154890173929538
19	PRUNED	0.854872592122053	0.00012022424221102133	0.2253108837589216	0.9983867870626836	0.020047871824820304	0.0026105776583090954	0.46755716563056793
20	PRUNED	0.851729883039958	0.00011729242160930701	0.2490535202324568	0.9987007713605929	0.030428815808109414	0.0014058106240197224	0.7289656231073165
21	COMPLETE	0.8549938000000001	0.00012344205005731043	0.16397598136082747	0.9983808049819333	0.029086192171653532	0.0016284478376416443	0.7554728762838546
22	COMPLETE	0.8551474000000001	0.00012971686399871314	0.2047967825436126	0.9982115839622767	0.028101195224279688	0.001866827034684675	1.070043306654766
23	PRUNED	0.855418665685963	0.00013036488733916374	0.23714250703685164	0.9980178049911793	0.022738197860198414	0.0017702388523044821	1.0395512181681976
24	PRUNED	0.8555273231808229	0.0001274028010246521	0.23352976721958157	0.9984050691911082	0.03770371105869641	0.0024092462755703533	0.578953758259399
25	PRUNED	0.8309526197600619	0.0001361963797858958	0.22546246881803825	0.9987580859361789	0.03145976500226014	0.0012270121932221498	0.8391915643217583
26	PRUNED	0.8324710385984855	0.00012227226307789582	0.16089213460877863	0.9986152402716046	0.041974830057256	0.002375820362040939	0.9995000063374904
27	PRUNED	0.8329195990259831	0.0001205573965804228	0.20910534785980364	0.9985719716673166	0.02855410598363986	0.0013498557029090336	1.6179693518558174
28	COMPLETE	0.8550496000000001	0.00013182545935472854	0.2071027438974577	0.9983730235011488	0.028139591607010267	0.00318976624311866	0.9781609216864534
29	COMPLETE	0.855141	0.00012395159223311297	0.19496552174627554	0.9980933948372648	0.03917730685625272	0.0011317645357531397	0.9334278078828658
