iter	timestamp	commit	combo	split_mode	n_seeds	mean_val_auc	std_val_auc	mean_val_mcc	std_val_mcc	mean_val_loss	wall_time_min	keep	note
1	2026-05-17T17:11:58	d82eae5332	maccs+avalon+scage2+mole	scaffold	10	0.844294	0.004246	0.532993	0.013607	0.584325	2.22	True	baseline reproduction
2	2026-05-17T17:18:19	b7169ccd73	maccs+avalon+scage2+mole	scaffold	10	0.841657	0.004414	0.514399	0.014448	0.584916	2.32	False	AdamW+clip1+warmup5+cosine
3	2026-05-17T18:01:07	c6d3d5e72e	maccs+avalon+scage2+mole	scaffold	10	0.843686	0.003097	0.515544	0.020004	0.469764	2.7	False	pos_weight=n_neg/n_pos auto-from-train
4	2026-05-17T18:04:38	1f47f71efa	maccs+avalon+scage2+mole	scaffold	10	0.841064	0.004635	0.519563	0.021963	0.415345	2.45	False	BCE label smoothing 0.1 train-only
5	2026-05-17T18:08:32	50096c108d	maccs+avalon+scage2+mole	scaffold	10	0.841895	0.003883	0.509524	0.020021	0.59917	3.09	False	LayerNorm after per-modality projection
6	2026-05-17T18:12:33	1537b21f64	maccs+avalon+scage2+mole	scaffold	10	0.846964	0.002924	0.512321	0.019877	0.579991	3.18	True	modality dropout p=0.15
7	2026-05-17T18:19:34	e60ac45f85	maccs+avalon+scage2+mole	scaffold	10	0.846758	0.002687	0.515257	0.022228	0.574437	2.96	False	sigmoid skip-gate mix gated/mean pool
8	2026-05-17T18:25:13	e3497350a4	maccs+avalon+scage2+mole	scaffold	10	0.844073	0.003683	0.519131	0.01287	0.603598	3.69	False	cross-modal FiLM fp<->embed safe-init
9	2026-05-17T18:29:22	f3c3d2bc77	maccs+avalon+scage2+mole	scaffold	10	0.846926	0.003187	0.511347	0.018167	0.566967	3.13	False	attention pooling (input-dependent)
10	2026-05-17T18:33:41	736cf00709	maccs+avalon+scage2+mole	scaffold	10	0.846122	0.00252	0.515456	0.022625	0.577267	3.29	False	SGU learnable residual scale (init=original)
11	2026-05-17T18:37:14	0c1239dcf2	maccs+avalon+scage2+mole	scaffold	10	0.837673	0.004224	0.496605	0.021455	0.556291	2.74	False	2-layer per-modality projection
12	2026-05-17T18:41:48	bf90e40adf	maccs+avalon+scage2+mole	scaffold	10	0.847701	0.004372	0.511293	0.011206	0.597106	3.46	True	multi-head SGU n_heads=2
13	2026-05-17T18:51:57	f819ff7c5d	maccs+avalon+scage2+mole	scaffold	10	0.845737	0.004951	0.524875	0.010202	0.632903	4.86	False	cross-modal AdaLN (FiLM + LN, safe-mod init)
14	2026-05-17T18:55:42	f5afb80f83	maccs+avalon+scage2+mole	scaffold	10	0.839175	0.004083	0.506912	0.020002	0.561496	2.31	False	CLS token pooling (seq_len+1)
15	2026-05-17T18:59:51	f0251cfac6	maccs+avalon+scage2+mole	scaffold	10	0.845689	0.003106	0.514401	0.023255	0.615192	3.24	False	stochastic depth on gMLPBlocks (p=0.10)
16	2026-05-17T19:07:21	a62d2fd5a8	maccs+avalon+scage2+mole	scaffold	10	0.843159	0.005022	0.518575	0.014773	0.532045	5.52	False	diagonal-masked attention SGU
17	2026-05-17T19:14:57	5a6d2091b0	maccs+avalon+scage2+mole	scaffold	10	0.849704	0.003137	0.535396	0.009329	0.567684	5.77	True	EMA weights (decay=0.999) for val + ES
18	2026-05-17T19:27:32	70d4a37b33	maccs+avalon+scage2+mole	scaffold	10	0.848661	0.001314	0.53244	0.011186	0.551528	5.48	False	multi-head SGU n_heads=4 (variant of iter12)
19	2026-05-17T19:34:31	a3e5ee4c53	maccs+avalon+scage2+mole	scaffold	10	0.84961	0.003038	0.534078	0.006878	0.565666	6.38	False	EMA decay 0.9995
20	2026-05-18T01:15:33	f064aeee64	maccs+avalon+scage2+mole	scaffold	10	0.849725	0.002995	0.534972	0.009948	0.5306	6.5	True	per-modality learnable scale (init=1.0)
21	2026-05-18T01:31:51	3cb8b7e4f5	maccs+avalon+scage2+mole	scaffold	10	0.84971	0.00323	0.539647	0.008911	0.540943	7.43	False	gradient clipping max_norm=1.0
22	2026-05-18T01:40:57	748e787eb8	maccs+avalon+scage2+mole	scaffold	10	0.850344	0.004202	0.531186	0.009211	0.579043	7.9	True	DropPath in SGU v-path p=0.10
23	2026-05-18T01:57:50	17eb50fd0a	maccs+avalon+scage2+mole	scaffold	10	0.849638	0.003313	0.53135	0.011417	0.550637	7.98	False	DropPath SGU v-path p=0.15 (sweep)
24	2026-05-18T02:06:30	e9d589cf46	maccs+avalon+scage2+mole	scaffold	10	0.850282	0.003934	0.534617	0.011077	0.586822	8.11	False	DropPath SGU v-path p=0.05 (sweep down)
25	2026-05-18T02:14:27	cb5cdcf4e5	maccs+avalon+scage2+mole	scaffold	10	0.849034	0.002903	0.532356	0.009624	0.564336	7.46	False	modality dropout 0.15 -> 0.10
26	2026-05-18T02:25:43	a2054efa4c	maccs+avalon+scage2+mole	scaffold	10	0.848657	0.003137	0.531644	0.011843	0.587778	9.39	False	multi-query attention pool k=2 (replaces gated pool)
27	2026-05-18T02:35:42	2c034d2447	maccs+avalon+scage2+mole	scaffold	10	0.850403	0.004332	0.530759	0.007392	0.608808	8.34	True	EMA warmup 3 epochs (smoothing starts ep3)
28	2026-05-18T02:52:02	61372c7626	maccs+avalon+scage2+mole	scaffold	10	0.850153	0.004218	0.528555	0.006969	0.625853	7.75	False	EMA warmup 3 -> 5 epochs (sweep up)
29	2026-05-18T03:00:02	135fc69229	maccs+avalon+scage2+mole	scaffold	10	0.85077	0.003986	0.532757	0.009635	0.59145	7.57	True	EMA warmup 3 -> 2 epochs (sweep down)
30	2026-05-18T03:15:53	b52d97ee17	maccs+avalon+scage2+mole	scaffold	10	0.851378	0.003635	0.539602	0.010517	0.547717	7.58	True	EMA warmup 2 -> 1 epoch (sweep further down)
31	2026-05-18T03:29:51	72b981ce32	maccs+avalon+scage2+mole	scaffold	10	0.849669	0.003638	0.530955	0.010714	0.540951	5.14	False	EMA decay 0.999 -> 0.997 (faster tracking)
32	2026-05-18T03:39:54	6ba850fb3d	maccs+avalon+scage2+mole	scaffold	10	0.851812	0.003711	0.53432	0.005359	0.577465	9.2	True	EMA decay 0.999 -> 0.9995 (slower) on warmup=1 stack
33	2026-05-18T03:57:38	95244481f8	maccs+avalon+scage2+mole	scaffold	10	0.850376	0.003269	0.537627	0.007674	0.488141	7.36	False	EMA decay 0.9995 -> 0.9997 (slower)
34	2026-05-18T04:08:08	0d9471db67	maccs+avalon+scage2+mole	scaffold	10	0.851699	0.003345	0.537354	0.008089	0.554132	9.54	False	per-block per-channel LayerScale (init=1.0)
35	2026-05-18T04:18:31	f30bea0d89	maccs+avalon+scage2+mole	scaffold	10	0.850699	0.003146	0.53513	0.012101	0.54077	9.8	False	modality dropout 0.15 -> 0.20 (sweep up)
