iter	timestamp	commit	combo	n_trials	top_k	search_num_epochs	best_search_trial	best_search_mean_val_auc	best_confirm_trial	best_confirm_mean_val_auc	best_confirm_std_val_auc	threshold_mean	threshold_std	wall_time_min	keep	note
1	2026-05-21T19:00:12	765e9783b6	maccs+scage1+mole	50	3	30	23	0.851922	23	0.852668	0.00417	0.852661	0.003551	359.14	False	drop d_model/d_ffn/depth from search
2	2026-05-24T16:34:06	aea3f9685b	maccs+scage1+mole	50	3	30	7	0.852949	7	0.85285	0.00294	0.852661	0.003551	15.25	False	iter2: epoch-level pruning (MedianPruner n_warmup=5 + TPE n_startup=15 multivariate); 50 trials (19 COMPLETE, 31 PRUNED, ~62% saved); top search #7 v=0.8529 lr=1.5e-4 wd=1.5e-4 bs=128 depth=5 d=512 ffn=1536 head_dp=0.198; resumed confirm after CPU fallback+reboot
3	2026-05-24T18:44:53	a539a46706	maccs+scage1+mole	50	3	30	7	0.853267	7	0.85285	0.00294	0.852661	0.003551	74.36	True	iter3: 5-seed mean objective + reintroduced MedianPruner+TPE multivariate; 50 trials (17 COMPLETE, 33 PRUNED ~66% saved); top search #7 5-seed=0.8533 (iter2 3-seed 0.8529 -> +0.0004 SNR effect visible); confirm #7 = 0.85285+-0.00294 (same HP as iter2 trial#7, deterministic); holdout nn05 AUC 0.8663+-0.0076 / total AUC 0.8788+-0.0023; KEPT under mean-only rule (+0.000189 vs phase1 0.852661); top-region near BASE_CONFIG (d=512 ffn=1536 depth=5 bs=128 lr=1.5e-4); next: try sampler shift (CmaEs) or narrowing around this region
4	2026-05-24T20:16:12	88789c2111	maccs+scage1+mole	50	3	30	3	0.853932	3	0.85274	0.003394	0.85285	0.00294	82.35	False	iter4: narrow search space around iter3 trial#7 region (lr 7e-5~3e-4, wd 3e-5~5e-4, bs=128 d=512 ffn=1536 fixed, depth 4-6, drop 0.1-0.35); 50 trials (6 COMPLETE, 44 PRUNED 88% saved); top search #3 5-seed=0.8539 (iter3 #7=0.8533, +0.0007 in search) but confirm #3 10-seed=0.85274 < iter3 #7=0.85285 -> search-to-confirm overfit; holdout nn05 0.8630 / total 0.8766 (both lower than iter3 #7 and phase1); DISCARD under threshold 0.85285 (iter3 keep); trial#7 region is local optimum, narrow exploitation cannot improve; next: try sampler swap (CmaEs) or different region (regularization extreme / drop structural fix)
5	2026-05-24T23:24:25	e09f517cd6	maccs+scage1+mole	30	3	30	9	0.853267	9	0.85285	0.00294	0.85285	0.00294	44.16	False	iter5: sampler swap TPE -> CmaEsSampler (wide space, 5-seed obj, MedianPruner, n_trials=30); resumed from 2-trial OOM; best trial #9 EXACTLY equals iter3 trial#7 (lr=1.5e-4, wd=1.5e-4, bs=128, d=512, ffn=1536, depth=5, dropout=0.243, head_dropout=0.198); per-seed val identical (deterministic same HP); confirm=0.85285+-0.00294 = threshold (iter3 keep); holdout nn05 0.8663 / total 0.8788 unchanged; STRONG signal: trial#7 region is the robust HP-space global optimum -- TPE and CmaEs both find it; DISCARD (val_mean == threshold, not >); next: pruner family change (remove pruner / relax warmup) to test if late-blooming trials are being killed
6	2026-05-25T00:50:17	cd03e5f386	maccs+scage1+mole	30	3	30	7	0.853267	7	0.85285	0.00294	0.85285	0.00294	83.02	False	iter6: remove MedianPruner (NopPruner) -- all 30 trials full epochs; n_trials=30 budget; best #7 same HP as iter3/5 (deterministic); confirm 0.85285+-0.00294 same as iter3 (= threshold), holdout nn05 0.8663 / total 0.8788 unchanged; CONFIRMED: pruning was NOT the issue -- late-blooming regions do not exist; iter4/5/6 all DISCARD (3 consecutive after iter3 keep, different families: space/sampler/pruner); next: search seeds change (confirm-disjoint pool) -- iter1-6 all saw same [42,100,200,300,400] splits, try [1000-5000] disjoint from confirm to expose different HP region
7	2026-05-25T05:13:47	b5b4834e74	maccs+scage1+mole	30	3	30	21	0.851884	21	0.851604	0.002453	0.85285	0.00294	30.08	False	iter7: BASE_CONFIG extension (LR schedule + label smoothing + ema_decay); first phase-2 lever using best_train.py BASE_CONFIG; 30 trials, best #21 5-seed=0.8519 (cosine, warmup=9, min_ratio=0.20, smooth=0.054, ema=0.9957); confirm 0.8516+-0.0025 < iter3 threshold 0.85285 -> DISCARD; holdout nn05 0.8587 (phase-1 -0.011!) / total 0.8787 < iter3; training-procedure HP search over 5-D with 30 trials insufficient; sub-optimal HP combo found; next: fix existing HP at iter3 trial#7 baseline, search only the 5 new HP for fine-grained 5-D exploration
8	2026-05-25T05:46:28	4d30c286e6	maccs+scage1+mole	30	3	30	1	0.853913	1	0.852397	0.004151	0.85285	0.00294	28.55	False	iter8: pin 11 structural/reg HP at iter3 trial#7, search ONLY the 5 training-procedure HP (5-D); 30 trials best #1 5-seed=0.8539 confirm 0.852397+-0.004 < threshold 0.85285 -> DISCARD by val; BUT HOLDOUT BREAKTHROUGH: top-3 of 3 had holdout > phase-1 -- trial#1 nn05=0.8706 total=0.8801, trial#3 nn05=0.8713 total=0.8801, trial#24 total=0.8806; first iter where holdout per-seed mean exceeds phase-1 iter198 (nn05 0.870011, total 0.879823); common pattern: small label_smoothing (0.01-0.06) + ema 0.994-0.9994; lr_schedule mixed (cosine and constant both in top); next iter9: narrow 5-D around this region for dense exploitation
9	2026-05-25T09:54:06	010dbac855	maccs+scage1+mole	30	3	30	0	0.854136	0	0.851036	0.003763	0.85285	0.00294	26.75	False	iter9: narrow 4-D around iter8 holdout-breakthrough region (lr_schedule {constant,cosine}, min_ratio 0.10-0.25, smooth 0-0.06, ema 0.994-0.9995); 12 HP pinned at iter3 trial#7; 30 trials best #0 search=0.854136 -> confirm=0.851036+-0.0038 (search-to-confirm overfit worse than iter8); DISCARD by val rule (0.851036 < threshold 0.85285); holdout: nn05=0.8682 (P1 miss -0.0018), total=0.8812 (P1 +0.0013) -- iter8 wider region was actually more robust; narrow exploitation degraded both val and nn05; total still beats P1 but mixed signal; 6 consecutive discards (iter4-9), val-only keep rule unbeatable in this HP region; self-terminating phase-2 here per direction-flat plateau signal
10	2026-05-25T12:05:25	791b05ec05	maccs+scage1+mole	30	3	30	25	0.854804	27	0.852306	0.003048	0.85285	0.00294	50.46	False	iter10: shift search to bbb-combo1-style low-wd/low-dropout cluster (wd 5e-7..1e-5, dropout 0..0.10, lr 5e-5..1.5e-4); 12 HP pinned (arch iter3#7 + train-proc phase-1 defaults); 30 trials best #25 search=0.854804 (highest of any phase-2 iter); confirm best #27 val=0.852306+-0.003 < threshold 0.85285 -> DISCARD (search-to-confirm overfit -0.0025); top-3 VERY CONSISTENT cluster: lr 1.3-1.5e-4, wd 5e-7..9e-7 (300x lower than iter3 trial#7!), dropout 0.05-0.10; second local optimum confirmed (different region from iter3 trial#7); holdout: #18 nn05=0.870 total=0.881 -- P1 level; next: same cluster + search seeds 5->7 to reduce search-to-confirm overfit
11	2026-05-25T13:14:04	78fd984a82	maccs+scage1+mole	30	3	30	18	0.854214	21	0.852878	0.00324	0.85285	0.00294	65.83	True	iter11 KEEP: iter10 cluster + 7-seed objective [42,100,200,300,400,500,600]; 30 trials best search #18 (val=0.854214) but best confirm #21 (search rank2 0.853839 -> confirm 0.852878+-0.003240); KEEP under val rule (0.852878 > threshold 0.852850, marginal +0.000028); trial#21 in bbb-combo1 winning cluster: lr=1.22e-4, wd=1.14e-6 (vs iter3#7 wd 1.5e-4 = 130x lower), dropout=0.047 (vs 0.243 = 5x lower); 7-seed search picked robust #21 over higher-search #18 (search-to-confirm robustness from extra seeds); holdout: nn05=0.8683, total=0.8798 (total ~= P1, nn05 still below P1); next iter12: architecture HP range pin (d_model[512,768], d_ffn[1024,1536,2048,3072], depth[4-7]) + iter10 cluster + 5-seed evenly spread [42,200,400,600,800]
12	2026-05-25T14:11:16	5088ac7452	maccs+scage1+mole	30	3	30	3	0.853038	3	0.851858	0.003065	0.852878	0.00324	51.14	False	iter12 DISCARD: 2 levers bundled -- (a) arch HP single-pin -> range pin (d_model[512,768], d_ffn[1024,1536,2048,3072], depth[4-7]); (b) seeds 7-seed first-half -> 5-seed evenly spread [42,200,400,600,800]; 30 trials top-3 used new arch options (d_ffn 1536/2048/3072, depth 5/6) but ALL confirm val < iter11 KEEP 0.852878: best #3 (d=512 ffn=1536 dep=6) val=0.851858; 5-seed evenly more conservative (search 0.853 vs iter11 0.854) but confirm also lower; arch range increased dim to 9-D with 77 pct pruning -> sparse exploration; both lever changes worked in -direction; cannot disambiguate which hurt more; next iter13: isolate arch range only (seeds back to iter11 7-seed)
13	2026-05-25T15:22:07	d4d921a278	maccs+scage1+mole	30	3	30	3	0.853689	3	0.851858	0.003065	0.852878	0.00324	61.23	False	iter13 DISCARD (option B isolated): arch range only (single-pin -> [512,768]x[1024,1536,2048,3072]x[4-7]) on iter11 base; best confirm #3 (d=512 ffn=1536 dep=6 lr=6.3e-5 wd=7.4e-7 drop=0.032) val=0.851858 = EXACTLY iter12 best #3; CONFIRMED: seed pool change (5-evenly vs 7-first-half) does NOT affect sampler best selection; arch range is the lever that hurt iter12; depth=5 (iter3/iter11 best) is critical for combo2 -- range pin lets sampler pick depth=6 which is worse; arch range pin ruled out; next: narrow exploitation around iter11 trial#21 region or other lever (mod_drop_p range, sampler etc)
14	2026-05-25T16:20:15	0c4d038dba	maccs+scage1+mole	30	3	30	1	0.854278	15	0.85242	0.003607	0.852878	0.00324	41.64	False	iter14 DISCARD (option A): narrow exploitation around iter11 trial#21 (lr 1.0-1.4e-4, wd 5e-7-3e-6, drop 0.02-0.08, dp 0.01-0.05, md 0.05-0.15, hd 0.03-0.13); 30 trials best confirm #15 (search rank2 0.853644 -> confirm 0.852420+-0.0036); iter11 KEEP threshold 0.852878 not beaten; holdout nn05=0.8685 total=0.8798 ~= iter11; narrow box around trial#21 contains no better trial -- iter11 KEEP is the cluster center; 3 consec discards (iter12-14); iter13/14 same space family -> next iter15 must switch family to avoid direction-switch trigger; next: sampler family change (TPE -> CmaEs on same narrow box)
15	2026-05-25T17:22:49	0369c864d4	maccs+scage1+mole	30	3	30	26	0.854414	27	0.851744	0.003227	0.852878	0.00324	60.09	False	iter15 DISCARD: sampler TPE -> CmaEsSampler on iter11 low-wd cluster region; 30 trials best search #26 (0.854414, 7-seed) -> confirm #27 val=0.851744+-0.0032; CmaEs worse than TPE in this region (TPE iter11 0.852878 -> CmaEs iter15 0.851744); 4 consec discards iter12-15; sampler family switched after iter13/14 space-family so no 3-consec trigger; iter11 trial#21 mod_drop_p=0.114 sits at upper-edge of 0..0.15 range -- possible upper-bound signal; next iter16: extend mod_drop_p / head_dropout upper bounds 0.15 -> 0.25 to probe edge region
16	2026-05-25T18:13:09	e32ff0b55b	maccs+scage1+mole	30	3	30	20	0.854258	23	0.852282	0.003469	0.852878	0.00324	48.49	False	iter16 DISCARD: mod_drop_p / head_dropout upper 0.15 -> 0.25; 30 trials best confirm #23 val=0.852282; top-3 all near iter11 region but none beat threshold; edge probe failed -- iter11 trial#21 mod_drop_p=0.114 was a local peak not an edge signal; holdout: nn05=0.8679 (P1 miss), total=0.8803 (P1 +0.0005); 5 consecutive discards iter12-16 -> phase2.md early-termination trigger reached; self-terminating phase-2 at iter16; iter11 KEEP trial#21 remains the phase-2 best
17	2026-05-25T18:59:02	e989f8a969	maccs+scage1+mole	30	3	30	4	0.85528	1	0.852594	0.004025	0.852878	0.00324	40.46	False	iter17 DISCARD by val (best confirm #1 val=0.852594 < 0.852878) BUT HOLDOUT BREAKTHROUGH 2nd time: top-3 of 3 confirm trials beat P1 on both nn05+total (#1 nn05=0.8707 total=0.8811 / #4 nn05=0.8709 total=0.8814 / #16 nn05=0.8714 total=0.8815); beats iter8 trial#1 (iter11 base is better starting point than iter3 base); driver pattern: ALL top-3 picked lr_schedule=constant (NOT cosine) + label_smoothing 0.04-0.06 + ema_decay ~0.998; i.e. just label_smoothing + ema_decay are the effective levers, NOT LR schedule; next iter18 (final, ceiling 18): 2-D narrow exploitation on label_smoothing + ema_decay around iter17 #16 best
18	2026-05-25T19:48:06	3baa213f7f	maccs+scage1+mole	30	3	30	5	0.855343	5	0.852641	0.003985	0.852878	0.00324	46.7	False	iter18 FINAL DISCARD by val (0.852641 < 0.852878) BUT 3rd HOLDOUT BREAKTHROUGH and phase-2 RECORD: trial#5 nn05=0.871302 (+0.0013 P1), total=0.881540 (+0.0017 P1, phase-2 max across all iter/trial); search 0.855343 (phase-2 search max) -> confirm gap 0.0027 (search-to-confirm overfit); 2-D narrow on label_smoothing [0.035,0.065] + ema_decay [0.9978,0.9988] log around iter17 #16; ceiling 18 reached; phase-2 final state: 2 KEEP (iter3, iter11), 16 DISCARD; val winner = iter11 trial#21 (0.852878); holdout winner = iter18 trial#5 (total 0.881540)
19	2026-05-30T12:27:03	af663dae13	maccs+scage1+mole	30	3	30	22	0.853482	3	0.852141	0.003599	0.852878	0.00324	45.98	False	optimizer-family lever {adamw,radam,nadam} on iter11 low-wd base (7-seed obj, 6-D box); first untried lever class; tests whether non-AdamW update rule beats iter11 trial#21 val 0.852878; next: if a family wins narrow its lr/wd, if adamw dominates optimizer-family ruled out
