trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout	d_model	d_ffn	depth
0	COMPLETE	0.8471042000000001	8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333	384	768	3
1	FAIL		0.000259774275700225	0.00021600820741402046	128	1.1922190433793978	0.3122116705145822	0.011827442586893323	0.19197630639825713	0.04300598622271392	384	1048	5
2	COMPLETE	0.8471042000000001	8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333	384	768	3
3	COMPLETE	0.8473984	0.000259774275700225	0.00021600820741402046	128	1.1922190433793978	0.3122116705145822	0.011827442586893323	0.19197630639825713	0.04300598622271392	384	1048	5
4	COMPLETE	0.8248926000000001	1.0762751359127566e-05	7.126995609048586e-05	256	1.522730448655225	0.14380316022951442	0.04370319537993415	0.20928935877817945	0.01806764148878095	512	1536	5
5	COMPLETE	0.8483338	5.56122946646858e-05	0.0009228295957427442	128	1.4796624881980978	0.10131664101591285	0.04663107728563063	0.07332767760048083	0.04769087509365592	512	1536	3
6	PRUNED	0.7819453034887415	0.00026524259191408817	1.942205696972692e-06	256	1.4072682796175688	0.2957054317593207	0.003918779225432068	0.08484208877292287	0.03605896836395067	768	1536	5
7	PRUNED	0.7114335545488486	2.824156663833462e-05	3.7131642495346186e-05	256	0.9778534286769855	0.2669641519854727	0.013179786240439218	0.21489816123556965	0.08682182788416033	512	768	4
8	PRUNED	0.7693243175473496	0.00017744860558534652	0.0007701328264939122	256	1.35837785868631	0.08923265305624734	0.09527490115169851	0.1341376135852882	0.25392260174133835	768	1048	6
9	COMPLETE	0.8532667999999999	0.00015017249579685538	0.00014988661076850772	128	1.1357825728372695	0.24255728565116974	0.0019193198309333526	0.0904724450023648	0.1980520612478055	512	1536	5
10	PRUNED	0.7637611931150154	9.457173802952313e-05	9.111763933595847e-05	256	1.0513428050718447	0.17434597010625075	0.08919233550156722	0.24185819671382572	0.2111665750621099	512	768	3
11	COMPLETE	0.852224	0.00011112639750008533	2.352122566231734e-06	64	1.1107749458389995	0.02766679818205522	0.06974287731445637	0.13606280480342064	0.21661667984110436	512	1536	3
12	PRUNED	0.7647927427937792	7.67760147271337e-05	1.4555058825551694e-06	256	0.8358870320905702	0.1381406722787611	0.09280812934655909	0.21132432057705983	0.009551678859392353	512	1048	5
13	PRUNED	0.8016192752823702	0.00010051696222588721	0.00015501227443631753	128	0.7792895088205043	0.37774895599357344	0.07395507950492876	0.14713764258527012	0.06822438839199697	768	1048	3
14	PRUNED	0.7922371185146799	1.101357768029093e-05	1.5912883907384322e-06	64	1.845006939560513	0.3961355789586818	0.021689698439847395	0.19892346093003024	0.07899671302114519	512	1536	5
15	PRUNED	0.7789634910817272	0.0003038136538822281	6.616466294247085e-06	256	1.5312324145817229	0.08620307084542339	0.09473705904889243	0.21925674203104734	0.07618249277850775	512	1048	4
16	PRUNED	0.8301335094141968	0.00039827028522769736	1.1426505583878147e-05	128	0.530068764761667	0.011089077299187455	0.06037842802658419	0.01781208202328713	0.18308915053542105	512	1536	6
17	PRUNED	0.8308843605645733	3.0220256347508608e-05	1.1151326766559375e-05	64	1.067006517443977	0.005727579473183919	0.033789902573133926	0.10363704317913014	0.2723125286988614	512	1536	4
18	PRUNED	0.8305625672144119	0.00014771562547806805	1.5958649783280217e-05	128	1.0642458663657641	0.24773045529293575	0.0012362672258787095	0.011857450737816466	0.18911310786651622	512	1536	4
19	COMPLETE	0.8461779999999999	3.966695962876877e-05	3.7690361368517476e-06	64	1.9577014281985803	0.005772648521894214	0.061118469543864545	0.12120843596175852	0.29941261291439786	384	1536	6
20	COMPLETE	0.851435	0.00015429209943311972	1.4434081836860164e-06	128	0.6431848463247261	0.22747232491879546	0.03151319714187349	0.05667047845392496	0.18780493012174895	768	1536	4
21	PRUNED	0.8393345703571208	0.0004331789849404524	2.561403315519226e-05	64	1.08777936744975	0.061598020622047514	0.0002603375418065426	0.11089067497267803	0.20940308177368078	512	1536	3
22	COMPLETE	0.8522584	0.0001528544808661256	1.0192562588636122e-06	128	0.5046978215921738	0.25143271618652363	0.031100497661448675	0.06331096810413724	0.16641376638296027	768	1536	4
23	COMPLETE	0.8526271999999999	0.0001703775672749697	1.7818697841916653e-06	128	0.5958108963957989	0.2604776891252649	0.032740462682952685	0.06843120646038267	0.15855388374087737	768	1536	4
24	COMPLETE	0.8510233999999999	0.00018186336444044336	1.0784189262794048e-06	128	0.5067754446414364	0.26515442038234677	0.030209306962807558	0.04478587381686752	0.1509461964958215	768	1536	4
25	COMPLETE	0.850779	0.00017151340947668304	1.0934455167175571e-06	128	0.518007202627922	0.24569073343309739	0.02628156874203071	0.061300262500780134	0.1509878354779698	768	1536	5
26	PRUNED	0.8231529618918663	0.0001807951983545579	3.8181419775269486e-06	128	0.7632476206345351	0.3085566965502842	0.023718318283447927	0.06664885437492987	0.15333656000983298	768	1536	4
27	COMPLETE	0.8502919999999999	0.00016836256640489307	1.142563782458038e-06	128	0.5504420635548318	0.2276790554946294	0.04313273827557215	0.018274466428855544	0.1546755506891713	768	1536	4
28	PRUNED	0.8211037929823976	0.0002305490479428996	4.747917507513936e-06	128	0.7683746485133005	0.3113438201943513	0.019885935727822324	0.08215303775649913	0.2212094660541864	768	1536	5
29	PRUNED	0.8231710714743428	0.00048008968607151986	1.1189576091788928e-06	128	0.5066738595261842	0.22178940836963482	0.04219990318327389	0.08824208183656959	0.15344288049365898	768	1536	4
