trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout	d_model	d_ffn	depth	lr_schedule	lr_warmup_epochs	lr_min_ratio	label_smoothing	ema_decay
0	COMPLETE	0.8444846	8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333	384	768	3	warmup_cosine	10	0.23974756926501706	0.04614793622529319	0.9977187936062462
1	COMPLETE	0.835505	1.5883444938205607e-05	8.313101133778734e-05	128	1.1219929099857855	0.1058222448418508	0.07742336894342167	0.13684509966496455	0.17053018466059455	512	1048	4	cosine	7	0.2011913608854478	0.021038256107384093	0.9912708457080063
2	COMPLETE	0.8367748	3.434814651388678e-05	1.233480570086001e-05	256	0.6530672161220421	0.08355070243793389	0.016130951788499628	0.19593249763961954	0.07598748076193464	384	1048	3	cosine	9	0.02882952236818892	0.09764594650133958	0.9946273830667324
3	COMPLETE	0.839158	0.0004565494145842646	6.52433961066634e-05	64	0.6802948418197534	0.11845607900885798	0.011872771895424405	0.09539495381819281	0.12427889835440098	512	1048	5	constant	1	0.21489816123556965	0.028940609294720112	0.991806232227969
4	COMPLETE	0.8449758	9.918999843223929e-05	1.1490069048873201e-06	64	0.9050119597882473	0.29407760884903794	0.09621885451174383	0.07462594305598741	0.17284720032535106	384	768	5	cosine	9	0.1743818617907576	0.08817353618548529	0.99684556830119
5	COMPLETE	0.8455083999999999	0.00017068103468473718	3.191340515246819e-05	64	1.4095898211918865	0.00767727932373341	0.030157481667454935	0.1980520612478055	0.08702328216313322	384	1536	5	constant	9	0.11026856101436895	0.04358649252656269	0.9988252871405483
6	COMPLETE	0.8478885999999999	0.0002342606829481904	0.00012932001628255206	128	1.9982705098517997	0.0597793218631975	0.08681260573682142	0.04874788040291245	0.18466786928515325	512	768	5	warmup_cosine	10	0.2567410027177833	0.0011714084185001973	0.9935524402792871
7	PRUNED	0.8426263352334464	0.0001738729685778681	3.2725706551202704e-06	64	0.527782691690921	0.31747908134296826	0.022392468806038013	0.1036055042090708	0.27842438803967723	384	768	6	constant	8	0.09358349864388056	0.03982210622160919	0.9920692941890374
8	PRUNED	0.8210703599070561	2.0717451556464727e-05	0.000680953050813684	64	0.8815347226555894	0.02321166412955025	0.04344166255581208	0.09353876459823077	0.20890304664463785	384	1048	5	cosine	7	0.07899671302114519	0.002065099946572868	0.9974989156006507
9	PRUNED	0.8236029153641697	3.4970314663847474e-05	1.4138120619090761e-05	128	1.808975983171093	0.10941681392625431	0.07980468339125638	0.05569078329178566	0.28583749709158335	768	768	5	warmup_cosine	4	0.1390726273094432	0.02776287062947319	0.9957972190404647
10	PRUNED	0.7811582331734117	0.00029353829176383627	2.2521409530212696e-06	256	1.0940895542109406	0.2261685247434036	0.018327983621407862	0.04345432780301317	0.14641688419468638	512	1048	5	cosine	2	0.030088182679649342	0.0016429629591474205	0.9991991092706206
11	PRUNED	0.8414589636861081	0.00013745739780802506	0.00022670376672491349	128	1.2284413939019343	0.39099805589777875	0.08765052453165909	0.10144768555105368	0.2884710463624495	512	1536	4	constant	3	0.04444225828444951	0.09818293898182533	0.994723576455531
12	PRUNED	0.8246797389991252	6.999274245962806e-05	8.28738565327208e-05	256	0.7847718678541369	0.20452759301858242	0.022431702897473926	0.029353345348210214	0.25865745522650496	384	768	4	constant	7	0.0034282375875093083	0.07705807485027763	0.9914486048556603
13	PRUNED	0.8184277539102768	1.3649150831004176e-05	1.8569880231388063e-06	64	1.3360531869858754	0.3442204695315175	0.07270442627113283	0.08109837157161438	0.03944483978733828	512	1536	4	warmup_cosine	0	0.20909917251749618	0.07786953959411035	0.9976878038478573
