trial	state	mean_val_auc	lr_schedule	lr_warmup_epochs	lr_min_ratio	label_smoothing	ema_decay
0	COMPLETE	0.8523404000000001	cosine	5	0.1270964398016714	0.06458941130666561	0.9943199942533858
1	COMPLETE	0.8539126000000001	cosine	8	0.15866847592587133	0.056804456109393234	0.9991600099234406
2	COMPLETE	0.8478300000000001	cosine	9	0.23344702528495515	0.08700121482468193	0.999687289334869
3	COMPLETE	0.8526095999999999	constant	1	0.19197630639825713	0.014335328740904641	0.999349643991052
4	COMPLETE	0.8504082000000001	constant	8	0.13684509966496455	0.05684339488686485	0.9901851123879013
5	COMPLETE	0.8523540000000001	constant	10	0.20454608973104502	0.035950790057378605	0.9943145006550987
6	COMPLETE	0.85222	constant	7	0.06311476832215226	0.01289262976548533	0.9931121115952086
7	COMPLETE	0.8522142	cosine	10	0.03061344322440842	0.020887675609483472	0.991590308188946
8	PRUNED	0.8484241877155736	constant	2	0.04769087509365592	0.011037514116430515	0.9964865473803559
9	PRUNED	0.8455935206699989	warmup_cosine	9	0.02913038273791838	0.0837944907498804	0.9909471015857682
10	PRUNED	0.847405871962466	warmup_cosine	6	0.2217790738194905	0.003918779225432068	0.9927898060647874
11	PRUNED	0.8469029827875384	cosine	3	0.12427889835440098	0.006414749634878436	0.9968449784147915
12	PRUNED	0.8499426065539972	constant	1	0.1727839486668538	0.09292961975762142	0.9931431468577256
13	PRUNED	0.8495455887843175	warmup_cosine	3	0.05495740860213505	0.05865129348100832	0.9901980957863573
14	PRUNED	0.8499899700773974	constant	2	0.22055820663677847	0.09621885451174383	0.9924534594374638
15	PRUNED	0.6868080049926726	constant	2	0.21661580208993486	0.013446356694106052	0.9998564411063586
16	PRUNED	0.8388818307952057	cosine	10	0.061122952569043196	0.036939827230288616	0.9977123350561818
17	PRUNED	0.8037046633567921	cosine	5	0.11127700511445324	0.08463256965921412	0.9991194886549087
18	PRUNED	0.8448064503546692	constant	2	0.1687998921951277	0.054369746242857175	0.9970008941215486
19	PRUNED	0.8444540100187783	cosine	7	0.20004860820718978	0.039159758708460585	0.9971323738132374
20	PRUNED	0.8064949321029962	constant	7	0.12850065547753056	0.025808046120487906	0.9990806151504404
21	PRUNED	0.8451115271671599	warmup_cosine	0	0.1570622582022579	0.012263062190711318	0.9971313293170112
22	PRUNED	0.8166878409477163	cosine	0	0.29211134627518576	0.011301071714386822	0.9987912857289388
23	PRUNED	0.8372533614171166	warmup_cosine	10	0.19954871124055656	0.05157442456880578	0.9955086046900693
24	COMPLETE	0.8525410000000001	constant	9	0.22543870387305845	0.029223006123625186	0.9945804011883695
25	PRUNED	0.8422167800605139	constant	7	0.26717582992872557	0.027689544419957524	0.9974608903005262
26	PRUNED	0.822464797757755	warmup_cosine	6	0.05117123680365754	0.05306804433297512	0.9981371356903427
27	PRUNED	0.8507436073173857	cosine	2	0.20728309783149193	0.04882555370909747	0.9906230619457641
28	PRUNED	0.7602026601583612	cosine	9	0.15245305292830233	0.0580563603349807	0.9996559463815822
29	PRUNED	0.8352306603589597	constant	0	0.14625402215310102	0.012329599404365493	0.998002104731562
