iter	timestamp	commit	combo	split_mode	n_seeds	mean_val_auc	std_val_auc	mean_val_mcc	std_val_mcc	mean_val_loss	wall_time_min	keep	note
1	2026-05-19T09:11:41	ea3efc7c3c	maccs+scage1+mole	scaffold	10	0.845427	0.002913	0.518117	0.015689	0.517918	1.96	True	baseline reproduction
2	2026-05-19T09:17:24	b3ca9f0f5c	maccs+scage1+mole	scaffold	10	0.842201	0.003874	0.518057	0.013421	0.497594	2.33	False	AdamW + grad-clip(1.0) + warmup(5)+cosine
3	2026-05-19T09:21:13	ca06ac935e	maccs+scage1+mole	scaffold	10	0.844398	0.003822	0.518706	0.010843	0.451386	2.7	False	BCE pos_weight = n_neg/n_pos (auto)
4	2026-05-19T09:24:27	d1a23b93c6	maccs+scage1+mole	scaffold	10	0.841236	0.004989	0.524494	0.018526	0.410009	2.31	False	label smoothing 0.1
5	2026-05-19T09:27:52	6bafe19a4b	maccs+scage1+mole	scaffold	10	0.841651	0.002982	0.51408	0.012308	0.522418	2.39	False	per-modality LayerNorm after projection
6	2026-05-19T09:31:35	8526129444	maccs+scage1+mole	scaffold	10	0.844286	0.004922	0.524458	0.013019	0.545138	2.67	False	modality dropout (p=0.15)
7	2026-05-19T09:43:02	d420257c88	maccs+scage1+mole	scaffold	10	0.845555	0.00259	0.515576	0.014398	0.540072	3.07	True	sigmoid skip-gate mix gated/mean pool
8	2026-05-19T09:50:35	8f5330c703	maccs+scage1+mole	scaffold	10	0.844731	0.002426	0.516959	0.011783	0.554243	3.23	False	cross-modal FiLM (category-based, safe-init)
9	2026-05-19T09:54:12	577dbd52cf	maccs+scage1+mole	scaffold	10	0.845373	0.002748	0.517719	0.016125	0.519174	2.48	False	attention pooling (replaces alpha-softmax)
10	2026-05-19T09:58:56	b1bbe9f895	maccs+scage1+mole	scaffold	10	0.845572	0.002688	0.519276	0.014443	0.541884	2.61	True	learnable exp-gated residual scale on SGU spatial path
11	2026-05-19T10:05:25	daeb40ccf1	maccs+scage1+mole	scaffold	10	0.843838	0.004588	0.522646	0.014446	0.56385	3.04	False	2-layer per-modality projection (Linear-GELU-Linear)
12	2026-05-19T10:09:38	98448eb4ac	maccs+scage1+mole	scaffold	10	0.844951	0.004321	0.519227	0.007705	0.547158	2.76	False	multi-head SGU (n_heads=2)
13	2026-05-19T10:14:57	fad03f0ef9	maccs+scage1+mole	scaffold	10	0.842496	0.003465	0.511433	0.010132	0.577486	3.74	False	AdaLN variant of cross-modal FiLM
14	2026-05-19T10:19:06	fae101ec48	maccs+scage1+mole	scaffold	10	0.839255	0.004509	0.511985	0.010997	0.589836	2.53	False	CLS token pool (SGU seq_len+1)
15	2026-05-19T10:23:21	11282f77f7	maccs+scage1+mole	scaffold	10	0.843669	0.002489	0.516796	0.022987	0.587261	3.16	False	stochastic depth on gMLPBlocks (p=0.08)
16	2026-05-19T10:30:35	1d08013232	maccs+scage1+mole	scaffold	10	0.841544	0.003948	0.508557	0.011442	0.588356	5.53	False	diagonal-masked attention SGU
17	2026-05-19T10:37:52	ba612000be	maccs+scage1+mole	scaffold	10	0.84681	0.00417	0.536952	0.00902	0.506247	5.05	True	EMA(0.999) of weights for val and early-stop snapshot
